Episode 0, Avg Reward: 189.00, Best Reward: 189.00, remain_bees: 46, step: 1200
Episode 10, Avg Reward: 217.86, Best Reward: 701.30, remain_bees: 46, step: 1200
Episode 20, Avg Reward: 212.52, Best Reward: 777.30, remain_bees: 47, step: 1200
Episode 30, Avg Reward: 323.04, Best Reward: 912.60, remain_bees: 40, step: 402
Episode 40, Avg Reward: 344.76, Best Reward: 912.60, remain_bees: 46, step: 1200
Episode 50, Avg Reward: 308.21, Best Reward: 912.60, remain_bees: 50, step: 1200
Episode 60, Avg Reward: 264.35, Best Reward: 912.60, remain_bees: 43, step: 1200
Episode 70, Avg Reward: 345.84, Best Reward: 912.60, remain_bees: 44, step: 1200
Episode 80, Avg Reward: 244.75, Best Reward: 912.60, remain_bees: 47, step: 1200
Episode 90, Avg Reward: 374.89, Best Reward: 1064.90, remain_bees: 46, step: 1200
Episode 100, Avg Reward: 204.09, Best Reward: 1064.90, remain_bees: 46, step: 1200
Episode 110, Avg Reward: 198.36, Best Reward: 1064.90, remain_bees: 48, step: 102
Episode 120, Avg Reward: 190.46, Best Reward: 1064.90, remain_bees: 50, step: 1200
Episode 130, Avg Reward: 291.89, Best Reward: 1064.90, remain_bees: 44, step: 1200
Episode 140, Avg Reward: 327.44, Best Reward: 1064.90, remain_bees: 46, step: 1200
Episode 150, Avg Reward: 414.17, Best Reward: 1064.90, remain_bees: 43, step: 1200
Episode 160, Avg Reward: 222.43, Best Reward: 1064.90, remain_bees: 41, step: 1200
Episode 170, Avg Reward: 524.24, Best Reward: 1106.40, remain_bees: 38, step: 329
Episode 180, Avg Reward: 359.68, Best Reward: 1106.40, remain_bees: 44, step: 1200
Episode 190, Avg Reward: 253.46, Best Reward: 1106.40, remain_bees: 39, step: 1200
Episode 200, Avg Reward: 381.49, Best Reward: 1173.00, remain_bees: 43, step: 1200
Episode 210, Avg Reward: 289.61, Best Reward: 1173.00, remain_bees: 38, step: 1200
Episode 220, Avg Reward: 381.12, Best Reward: 1173.00, remain_bees: 45, step: 1200
Episode 230, Avg Reward: 359.52, Best Reward: 1173.00, remain_bees: 46, step: 1200
Episode 240, Avg Reward: 220.41, Best Reward: 1173.00, remain_bees: 49, step: 1200
Episode 250, Avg Reward: 517.46, Best Reward: 1396.70, remain_bees: 44, step: 1200
Episode 260, Avg Reward: 419.12, Best Reward: 1396.70, remain_bees: 41, step: 1200
Episode 270, Avg Reward: 331.96, Best Reward: 1396.70, remain_bees: 39, step: 294
Episode 280, Avg Reward: 273.94, Best Reward: 1396.70, remain_bees: 43, step: 1200
Episode 290, Avg Reward: 422.94, Best Reward: 1396.70, remain_bees: 45, step: 1200
Episode 300, Avg Reward: 400.39, Best Reward: 1396.70, remain_bees: 43, step: 1200
Episode 310, Avg Reward: 246.02, Best Reward: 1396.70, remain_bees: 46, step: 1200
Episode 320, Avg Reward: 346.16, Best Reward: 1396.70, remain_bees: 46, step: 1200
Episode 330, Avg Reward: 391.70, Best Reward: 1396.70, remain_bees: 47, step: 1200
Episode 340, Avg Reward: 375.46, Best Reward: 1396.70, remain_bees: 45, step: 1200
Episode 350, Avg Reward: 301.45, Best Reward: 1396.70, remain_bees: 46, step: 1200
Episode 360, Avg Reward: 218.44, Best Reward: 1396.70, remain_bees: 46, step: 1200
Episode 370, Avg Reward: 284.31, Best Reward: 1396.70, remain_bees: 45, step: 1200
Episode 380, Avg Reward: 171.87, Best Reward: 1396.70, remain_bees: 46, step: 1200
Episode 390, Avg Reward: 346.51, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 400, Avg Reward: 429.67, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 410, Avg Reward: 259.05, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 420, Avg Reward: 405.43, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 430, Avg Reward: 570.84, Best Reward: 1508.50, remain_bees: 45, step: 134
Episode 440, Avg Reward: 271.72, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 450, Avg Reward: 204.45, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 460, Avg Reward: 369.20, Best Reward: 1508.50, remain_bees: 44, step: 1200
Episode 470, Avg Reward: 221.11, Best Reward: 1508.50, remain_bees: 47, step: 1200
Episode 480, Avg Reward: 288.76, Best Reward: 1508.50, remain_bees: 48, step: 1200
Episode 490, Avg Reward: 252.78, Best Reward: 1508.50, remain_bees: 47, step: 246
Episode 500, Avg Reward: 299.13, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 510, Avg Reward: 284.27, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 520, Avg Reward: 228.31, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 530, Avg Reward: 248.63, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 540, Avg Reward: 359.76, Best Reward: 1508.50, remain_bees: 44, step: 1200
Episode 550, Avg Reward: 239.71, Best Reward: 1508.50, remain_bees: 42, step: 1200
Episode 560, Avg Reward: 275.75, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 570, Avg Reward: 364.86, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 580, Avg Reward: 351.52, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 590, Avg Reward: 287.27, Best Reward: 1508.50, remain_bees: 47, step: 1200
Episode 600, Avg Reward: 288.42, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 610, Avg Reward: 238.16, Best Reward: 1508.50, remain_bees: 43, step: 1200
Episode 620, Avg Reward: 213.75, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 630, Avg Reward: 306.81, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 640, Avg Reward: 426.39, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 650, Avg Reward: 238.23, Best Reward: 1508.50, remain_bees: 42, step: 1200
Episode 660, Avg Reward: 300.92, Best Reward: 1508.50, remain_bees: 44, step: 282
Episode 670, Avg Reward: 198.65, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 680, Avg Reward: 331.48, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 690, Avg Reward: 394.14, Best Reward: 1508.50, remain_bees: 42, step: 1200
Episode 700, Avg Reward: 262.83, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 710, Avg Reward: 312.45, Best Reward: 1508.50, remain_bees: 43, step: 1200
Episode 720, Avg Reward: 145.00, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 730, Avg Reward: 215.71, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 740, Avg Reward: 215.81, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 750, Avg Reward: 233.19, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 760, Avg Reward: 402.38, Best Reward: 1508.50, remain_bees: 43, step: 1200
Episode 770, Avg Reward: 365.77, Best Reward: 1508.50, remain_bees: 43, step: 1200
Episode 780, Avg Reward: 186.57, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 790, Avg Reward: 214.05, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 800, Avg Reward: 239.98, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 810, Avg Reward: 352.09, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 820, Avg Reward: 345.69, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 830, Avg Reward: 218.73, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 840, Avg Reward: 346.64, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 850, Avg Reward: 349.73, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 860, Avg Reward: 153.22, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 870, Avg Reward: 248.19, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 880, Avg Reward: 188.37, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 890, Avg Reward: 263.04, Best Reward: 1508.50, remain_bees: 45, step: 1200
Episode 900, Avg Reward: 303.16, Best Reward: 1508.50, remain_bees: 46, step: 1200
Episode 910, Avg Reward: 453.21, Best Reward: 1508.50, remain_bees: 36, step: 242
Episode 920, Avg Reward: 201.98, Best Reward: 1508.50, remain_bees: 44, step: 1200
Episode 930, Avg Reward: 263.30, Best Reward: 1508.50, remain_bees: 44, step: 1200
