Episode 0, Avg Reward: 86.90, Best Reward: 86.90, remain_bees: 47, step: 1200
Episode 10, Avg Reward: 272.68, Best Reward: 949.20, remain_bees: 46, step: 1200
Episode 20, Avg Reward: 293.19, Best Reward: 949.20, remain_bees: 46, step: 1200
Episode 30, Avg Reward: 374.29, Best Reward: 980.00, remain_bees: 44, step: 1200
Episode 40, Avg Reward: 250.06, Best Reward: 980.00, remain_bees: 43, step: 1200
Episode 50, Avg Reward: 301.26, Best Reward: 980.00, remain_bees: 43, step: 1200
Episode 60, Avg Reward: 375.42, Best Reward: 1394.20, remain_bees: 43, step: 191
Episode 70, Avg Reward: 317.93, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 80, Avg Reward: 304.96, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 90, Avg Reward: 301.73, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 100, Avg Reward: 385.86, Best Reward: 1394.20, remain_bees: 45, step: 1200
Episode 110, Avg Reward: 273.19, Best Reward: 1394.20, remain_bees: 43, step: 1200
Episode 120, Avg Reward: 402.04, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 130, Avg Reward: 327.08, Best Reward: 1394.20, remain_bees: 40, step: 1200
Episode 140, Avg Reward: 309.40, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 150, Avg Reward: 498.60, Best Reward: 1394.20, remain_bees: 38, step: 475
Episode 160, Avg Reward: 245.60, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 170, Avg Reward: 237.67, Best Reward: 1394.20, remain_bees: 45, step: 1200
Episode 180, Avg Reward: 354.67, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 190, Avg Reward: 351.93, Best Reward: 1394.20, remain_bees: 38, step: 196
Episode 200, Avg Reward: 352.81, Best Reward: 1394.20, remain_bees: 42, step: 1200
Episode 210, Avg Reward: 392.56, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 220, Avg Reward: 183.40, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 230, Avg Reward: 391.60, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 240, Avg Reward: 583.72, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 250, Avg Reward: 255.36, Best Reward: 1394.20, remain_bees: 41, step: 1200
Episode 260, Avg Reward: 372.64, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 270, Avg Reward: 219.43, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 280, Avg Reward: 213.76, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 290, Avg Reward: 178.88, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 300, Avg Reward: 219.32, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 310, Avg Reward: 155.34, Best Reward: 1394.20, remain_bees: 50, step: 1200
Episode 320, Avg Reward: 285.83, Best Reward: 1394.20, remain_bees: 43, step: 1200
Episode 330, Avg Reward: 220.66, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 340, Avg Reward: 390.20, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 350, Avg Reward: 300.88, Best Reward: 1394.20, remain_bees: 42, step: 1200
Episode 360, Avg Reward: 306.18, Best Reward: 1394.20, remain_bees: 43, step: 1200
Episode 370, Avg Reward: 308.13, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 380, Avg Reward: 350.85, Best Reward: 1394.20, remain_bees: 45, step: 1200
Episode 390, Avg Reward: 311.61, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 400, Avg Reward: 288.67, Best Reward: 1394.20, remain_bees: 45, step: 1200
Episode 410, Avg Reward: 429.29, Best Reward: 1394.20, remain_bees: 44, step: 1200
Episode 420, Avg Reward: 328.67, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 430, Avg Reward: 238.56, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 440, Avg Reward: 189.62, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 450, Avg Reward: 286.76, Best Reward: 1394.20, remain_bees: 41, step: 1200
Episode 460, Avg Reward: 420.31, Best Reward: 1394.20, remain_bees: 49, step: 1200
Episode 470, Avg Reward: 207.79, Best Reward: 1394.20, remain_bees: 46, step: 1200
Episode 480, Avg Reward: 219.16, Best Reward: 1394.20, remain_bees: 47, step: 1200
Episode 490, Avg Reward: 221.60, Best Reward: 1394.20, remain_bees: 48, step: 1200
